word,machado_fl,mac_morpho_fl,floresta_fl,genesis_fl,unitex-PB_fl,Manual Label
aa,N,Y,Y,Y,N,N
Aaron,Y,N,Y,Y,N,N
aba,Y,Y,N,N,Y,Y
abas,Y,N,N,N,Y,Y
abate,Y,Y,Y,N,Y,Y
Abba,Y,Y,Y,Y,N,N
abdominal,Y,N,Y,N,Y,Y
Abel,N,N,Y,N,N,N
about,Y,Y,Y,N,N,N
absolute,N,Y,Y,Y,N,N
absolve,Y,N,N,N,Y,Y
Abu,Y,N,Y,Y,N,N
Academic,Y,Y,Y,Y,N,N
acapulco,Y,Y,Y,Y,N,N
acceptable,Y,Y,Y,Y,N,N
access,Y,Y,Y,Y,N,N
account,Y,Y,Y,N,N,N
ace,Y,N,Y,Y,N,N
achar,Y,Y,Y,Y,Y,Y
ache,Y,Y,Y,Y,Y,Y
acne,N,N,N,N,Y,Y
acoustic,Y,Y,Y,Y,N,N
acre,Y,N,N,N,Y,Y
across,Y,N,Y,Y,N,N
act,Y,Y,Y,N,N,N
action,Y,N,Y,N,N,N
activity,Y,Y,Y,N,N,N
ad,N,N,Y,Y,N,N
Adam,Y,N,N,N,N,N
Adamastor,N,Y,Y,Y,N,N
adapt,Y,Y,Y,Y,N,N
add,Y,Y,Y,N,N,N
addict,Y,Y,Y,Y,N,N
addicted,Y,Y,Y,Y,N,N
Adela,Y,Y,Y,Y,N,N
Adelia,Y,Y,Y,Y,N,N
admire,Y,N,N,N,Y,Y
ado,Y,Y,Y,Y,N,N
adobe,Y,Y,Y,Y,N,N
adopter,Y,Y,Y,Y,N,N
adore,Y,N,N,N,Y,Y
Adriana,N,N,Y,Y,N,N
advance,Y,Y,Y,Y,N,N
adventure,Y,Y,Y,Y,N,N
adversaria,N,N,N,N,Y,Y
advertising,Y,Y,Y,Y,N,N
ae,N,N,N,N,N,Y
aero,N,N,N,N,N,Y
affinity,Y,Y,Y,Y,N,N
afire,Y,Y,Y,Y,N,N
Africana,Y,N,N,N,N,Y
after,Y,N,Y,N,N,N
again,N,Y,Y,N,N,N
Agatha,Y,N,Y,Y,N,N
Agave,Y,Y,Y,Y,N,N
age,N,Y,N,Y,Y,Y
agen,Y,Y,Y,Y,N,N
agenda,N,Y,Y,N,Y,Y
agile,Y,Y,Y,Y,N,N
Agnes,Y,Y,Y,Y,N,N
ago,N,Y,Y,N,N,N
agoniada,Y,N,N,N,Y,Y
agora,Y,Y,Y,Y,Y,Y
agree,Y,Y,Y,Y,N,N
agreed,Y,Y,Y,Y,N,N
agua,Y,N,N,N,Y,Y
Ah,N,N,Y,N,N,N
aha,Y,Y,Y,Y,N,N
ahead,Y,Y,Y,Y,N,N
ai,Y,Y,N,Y,Y,Y
ail,Y,Y,Y,Y,N,N
air,N,Y,Y,N,N,N
ak,Y,Y,Y,Y,N,N
aka,Y,Y,Y,Y,N,N
ake,Y,Y,Y,Y,N,N
akee,Y,Y,Y,Y,N,N
Al,N,N,Y,Y,N,N
ala,N,Y,Y,N,Y,Y
Aladdin,Y,N,Y,Y,N,N
Alain,Y,N,Y,Y,N,N
Alan,Y,N,Y,Y,N,N
alas,Y,Y,Y,Y,Y,Y
Albert,Y,N,Y,Y,N,N
Alberto,N,N,Y,Y,N,N
album,N,Y,N,N,N,Y
alchemist,Y,Y,Y,Y,N,N
ale,Y,Y,Y,Y,N,N
alec,Y,Y,Y,Y,N,N
alegar,Y,Y,N,N,Y,Y
Alejandro,Y,N,Y,Y,N,N
alem,N,N,N,N,Y,Y
alert,Y,Y,Y,Y,N,N
Alex,Y,N,N,Y,N,N
Alexander,Y,N,N,Y,N,N
Alexandra,Y,N,Y,Y,N,N
alf,Y,Y,Y,Y,N,N
alfa,N,Y,N,N,Y,Y
alga,N,N,N,N,Y,Y
algum,Y,Y,Y,Y,Y,Y
alias,Y,N,N,N,Y,Y
Alice,N,N,N,Y,N,N
Alicia,Y,N,Y,Y,N,N
Alida,Y,Y,Y,Y,N,N
alien,Y,Y,Y,Y,N,N
Aline,Y,Y,Y,Y,N,N
alison,Y,Y,Y,Y,N,N
