word,TotalCount,2006-2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
at,566,2,34,16,32,162,132,74,30,12,8,64
BY,411,13,339,29,3,4,2,2,0,8,3,8
for,410,6,147,21,20,25,21,35,35,29,18,53
the,401,13,238,19,19,7,14,23,22,13,15,18
post,379,25,323,11,6,2,1,1,1,1,2,6
in,305,2,85,10,16,6,4,38,34,21,12,77
LINK,277,13,199,12,8,8,5,11,9,4,1,7
web,254,13,228,5,2,2,1,1,0,1,0,1
RT,228,0,1,14,58,38,41,28,23,9,5,11
TAG,216,3,84,15,8,10,6,15,24,21,14,16
on,207,5,108,42,12,12,8,3,3,3,6,5
TOP,190,4,92,8,12,4,5,14,6,6,20,19
FAIL,169,5,145,12,6,1,0,0,0,0,0,0
tweet,166,2,76,11,5,4,5,12,9,7,12,23
PLEASE,164,0,136,3,2,1,2,12,3,1,4,0
lost,158,2,150,3,2,0,0,1,0,0,0,0
halloween,141,1,82,7,2,4,3,19,7,11,4,1
fake,139,4,64,10,2,6,2,3,4,0,0,44
follow,134,1,90,16,1,0,2,13,4,1,0,6
DM,131,1,38,3,16,10,11,11,10,5,7,19
RECORD,124,2,69,12,6,8,4,8,5,4,2,4
Of,121,3,64,9,5,1,2,6,8,4,11,8
Touch,120,2,113,2,1,1,0,0,0,0,1,0
Party,117,5,97,2,3,0,4,1,2,1,1,1
single,110,0,94,1,2,0,1,2,1,4,3,2
NET,106,3,41,7,12,12,8,5,4,4,5,5
News,105,4,52,5,3,2,0,1,2,2,1,33
house,99,3,29,2,4,9,15,15,9,2,5,6
kit,99,0,33,28,6,6,1,0,0,4,1,20
US,99,3,70,11,3,1,0,0,2,2,3,4
new,91,5,60,6,4,2,6,3,1,2,1,1
one,91,1,12,10,0,2,0,28,24,11,1,2
lol,90,3,68,2,3,5,2,0,1,2,2,2
YOU,89,0,52,4,2,4,3,4,6,0,6,8
is,88,4,51,5,1,2,1,1,7,8,5,3
bad,83,0,11,0,3,1,3,4,14,13,15,19
RESTART,80,0,7,53,12,2,4,2,0,0,0,0
man,79,1,28,9,5,4,8,3,3,5,3,10
love,77,0,31,7,1,5,6,5,4,3,2,13
Apple,75,7,53,3,2,1,2,1,2,3,0,1
Seo,74,2,72,0,0,0,0,0,0,0,0,0
Big,73,2,51,1,5,2,1,5,2,1,0,3
data,73,1,39,6,2,3,4,0,3,2,5,8
GO,73,7,24,3,6,1,5,4,4,2,5,12
LINKS,72,2,65,1,1,0,1,0,0,2,0,0
flash,71,4,54,4,1,0,1,0,1,3,3,0
Brother,70,0,43,1,8,5,3,3,3,0,2,2
and,69,0,53,2,0,3,2,0,2,2,1,4
it,67,1,44,5,3,0,1,0,5,3,3,2
my,67,3,29,7,2,3,4,7,8,3,1,0
home,66,1,31,11,2,9,5,4,1,0,0,2
pocket,65,0,62,2,0,1,0,0,0,0,0,0
Lady,64,0,41,10,3,0,0,0,4,3,1,2
crush,64,0,1,0,0,0,7,1,12,16,9,18
boy,62,1,8,3,3,3,1,5,3,5,11,19
UP,62,1,31,14,8,4,0,1,0,1,1,1
chat,61,1,48,3,1,1,3,1,0,1,0,2
mouse,61,2,26,31,1,0,0,1,0,0,0,0
REPLY,61,1,49,2,3,3,1,2,0,0,0,0
Band,57,2,37,4,3,0,1,5,2,0,1,2
FREE,57,0,34,1,3,0,1,3,2,1,0,12
Game,57,0,25,3,1,3,4,5,5,5,3,3
update,57,0,55,0,1,0,0,0,0,0,0,1
Happy,56,0,23,1,3,5,10,7,2,4,0,1
NOW,55,0,37,5,5,2,1,2,0,1,2,0
trailer,55,4,38,2,0,1,0,2,4,1,1,2
PLAY,54,0,29,2,3,3,0,0,3,5,3,6
Flu,54,0,15,16,2,0,4,1,2,7,5,2
Designer,52,5,45,1,0,0,0,1,0,0,0,0
add,51,2,25,3,11,3,0,0,0,2,3,2
ALL,50,1,22,0,0,22,0,0,1,0,2,2
sport,50,0,6,1,1,3,2,2,5,10,2,18
BLACK,49,0,26,2,3,0,1,4,2,3,1,7
Day,48,1,31,3,1,2,0,2,2,4,1,1
notebook,48,4,31,1,3,1,0,2,0,2,1,3
OMG,47,3,27,4,7,2,2,0,0,1,0,1
Hey,47,4,18,5,6,2,1,4,2,0,2,3
direct,47,0,46,0,1,0,0,0,0,0,0,0
Direction,46,0,0,0,0,1,0,24,17,2,1,1
set,46,1,30,4,0,1,2,0,0,1,2,5
FB,45,0,6,1,1,4,8,7,5,5,3,5
Girl,45,0,29,5,3,0,3,0,3,2,0,0
BABY,45,1,4,8,3,1,7,1,5,4,3,8
mobile,45,3,40,0,1,0,0,1,0,0,0,0
Ruby,44,1,43,0,0,0,0,0,0,0,0,0
Whats,44,0,1,0,0,2,14,5,9,3,3,7
we,44,2,17,5,2,2,2,7,4,1,2,0
Wave,43,0,41,1,0,0,0,0,0,0,0,1
Street,43,0,39,0,2,0,0,0,0,0,2,0
FF,43,3,19,11,4,0,0,0,0,0,0,6
click,42,1,36,0,1,1,1,0,0,0,1,1
OFF,42,5,15,5,0,3,3,1,1,4,1,4
snap,42,0,0,0,0,0,4,6,10,8,11,3
not,41,0,27,1,2,4,2,1,1,1,0,2
playboy,40,0,30,5,2,0,1,0,0,1,1,0
master,40,0,33,2,0,0,2,2,0,0,0,1
wtf,40,2,28,0,1,4,0,2,0,1,1,1
Tour,39,0,7,8,0,1,0,4,3,7,3,6
IE,39,6,31,0,0,0,0,0,0,0,0,2
Best,38,3,25,0,1,2,2,2,0,1,0,2
Bay,37,0,36,0,1,0,0,0,0,0,0,0
life,37,3,20,0,5,0,2,0,1,2,1,3
fashion,36,0,23,2,4,0,0,0,2,2,2,1
GIF,36,2,15,0,1,2,0,0,5,2,1,8
ever,35,1,29,1,0,0,0,1,3,0,0,0
Club,35,1,13,0,1,3,6,3,2,0,1,5
box,35,0,23,2,1,1,0,1,1,2,0,4
This,35,0,24,2,2,1,3,0,1,1,1,0
vice,34,1,4,9,1,1,0,1,0,5,2,10
Bang,34,1,22,0,2,0,0,1,5,0,1,2
Help,34,0,20,1,1,1,0,0,9,1,1,0
Pirate,34,0,34,0,0,0,0,0,0,0,0,0
open,34,1,17,2,3,0,1,2,0,1,1,6
red,34,0,18,4,0,1,3,2,1,1,3,1
pow,33,0,6,0,6,5,3,0,0,3,4,6
pic,33,0,4,0,6,10,6,3,1,0,1,2
