State,Population,Total Tweets,Tweets with English,Lat,Lng
 Acre,790101,0,0,-9.0238,-70.812
 Alagoas,3321730,0,0,-9.5713,-36.782
 Amapa,750912,0,0,0.902,-52.003
 Amazonas,3873743,3692,314,-3.4168,-65.8561
 Bahia,15126371,7537,469,-12.5797,-41.7007
 Ceara,8842791,1951,192,-5.4984,-39.3206
 Distrito Federal,2852372,2758,243,-15.7998,-47.8645
 Espirito Santo,3885049,3678,287,-19.1834,-40.3089
 Goias,6523222,55,4,-15.827,-49.8362
 Maranhao,6850884,0,0,-4.9609,-45.2744
 Mato Grosso,3224357,527,0,-12.6819,-56.9211
 Mato Grosso do Sul,2619657,0,75,-20.7722,-54.7852
 Minas Gerais,20734097,5122,382,-18.5122,-44.555
 Para,8073924,693,93,-1.9981,-54.9306
 Paraiba,3943885,392,44,-7.24,-36.782
 Parana,11081692,1987,183,-25.2521,-52.0215
 Pernambuco,9277727,2685,249,-8.8137,-36.9541
 Piaui,3194718,0,0,-7.7183,-42.7289
 Rio de Janeiro,16461173,13264,672,-22.9068,-43.1729
 Rio Grande do Norte,3408510,1823,193,-5.4026,-36.9541
 Rio Grande do Sul,11207274,5474,391,-30.0346,-51.2177
 Rondônia,1748531,68,6,-11.5057,-63.5806
 Roraima,496936,0,0,2.7376,-62.0751
 Santa Catarina,6727148,3596,300,-27.2423,-50.2189
 Sao Paulo,44035304,20567,987,-23.5505,-46.6333
 Sergipe,2219574,171,25,-10.5741,-37.3857
 Tocantins,1496880,171,34,-10.1753,-48.2982
